A_type,A_params,B_type,B_params,sliced_pca,sliced_pca_time,gromov_wasserstein,gromov_wasserstein_time,standard_ot,standard_ot_time,procrustes_ot,procrustes_ot_time,diffusion_k10_t0,diffusion_k10_t0_time,diffusion_k10_t1,diffusion_k10_t1_time,sw_proj100,sw_proj100_time,sw_proj1000,sw_proj1000_time,sw_proj10000,sw_proj10000_time
normal,"{'mean': array([0., 0.])}",normal,"{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}",0.401729788892919,0.0,0.8743502365212523,0.03204989433288574,0.7819532859019104,0.0,0.7919798520842857,0.0,0.17191372817864714,0.01670527458190918,0.11933531469607271,0.019886016845703125,0.4261569088690019,0.0022492408752441406,0.42081426684090556,0.01515817642211914,0.4203925039558665,0.26624393463134766
normal,"{'mean': array([0., 0.])}",normal,"{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",0.16233134449472267,0.0,0.4381233720362179,0.016528606414794922,0.5900295781451002,0.0,0.5824591215561231,0.009832143783569336,0.13503095481482766,0.025007963180541992,0.14898736209875058,0.020316600799560547,0.1989248759434455,0.0,0.1927783755265167,0.0285184383392334,0.1920188141799901,0.2416987419128418
normal,"{'mean': array([0., 0.])}",swissroll,{},5.6073717960479765,0.004297733306884766,11.225143532492078,0.023250579833984375,3.5607978178976367,0.008487939834594727,2.728445247859134,0.0029244422912597656,0.1594226550888027,0.014843940734863281,0.1811379013078298,0.015067100524902344,9.39240685515071,0.0033066272735595703,9.488124677853836,0.02651834487915039,9.491894862059155,0.1991269588470459
normal,"{'mean': array([1., 1.])}",banana,{'phase': 0.0},0.40558985097595,0.007354736328125,0.6978508087242326,0.0425877571105957,0.8585527724973888,0.0,0.8085543190925738,0.0,0.12656683690458395,0.016873598098754883,0.2358757990633863,0.01195669174194336,0.49281110860719773,0.004254579544067383,0.5055521826219282,0.016927480697631836,0.5065242418189275,0.23462414741516113
normal,"{'mean': array([1., 1.])}",banana,{'phase': 0.2},0.4369118630098796,0.0,0.8274721464727289,0.04059481620788574,1.006322477382875,0.0016016960144042969,0.8214205862427947,0.0022733211517333984,0.13094955918396955,0.014534711837768555,0.23795211398142965,0.015920400619506836,0.6833880917081807,0.0,0.7108626276223402,0.03515052795410156,0.7131822970746835,0.22341012954711914
normal,"{'mean': array([1., 1.])}",banana,{'phase': 1.0},0.5774622978316907,0.0,0.7366761172762668,0.036873817443847656,1.122540763929467,0.0,0.8837476505555532,0.0,0.11426503772150642,0.022843360900878906,0.24646482982392726,0.015837669372558594,0.8088103929182687,0.00664067268371582,0.8378363957760744,0.022815704345703125,0.8408128227313159,0.2418193817138672
normal,"{'mean': array([1., 1.])}",cylinder,{'angle': 0.0},0.40188653429796567,0.0,0.7671459885999522,0.018647193908691406,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.13596695191491218,0.016577720642089844,0.1850366112908796,0.013687372207641602,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([1., 1.])}",cylinder,{'angle': 0.2},0.38126548271538346,0.0,0.7059803110716135,0.030370473861694336,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.13698368281244208,0.013280153274536133,0.15056706584062612,0.018876075744628906,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([1., 1.])}",cylinder,{'angle': 1.5707963267948966},0.37483255003157623,0.007903814315795898,0.7030640906460804,0.028756141662597656,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.18898503770909345,0.016459941864013672,0.18535303921706484,0.016049861907958984,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([1., 1.])}",normal,"{'mean': array([0., 0.])}",0.17994550959865965,0.008184432983398438,0.4574637385814363,0.016641855239868164,1.1168564692125005,0.0,0.6173915501980461,0.01235198974609375,0.12612316536782783,0.03150486946105957,0.13319082793455314,0.01717686653137207,0.9479870119629313,0.0037965774536132812,0.9023955623674746,0.024965763092041016,0.8980831591516081,0.27524662017822266
normal,"{'mean': array([1., 1.])}",normal,"{'mean': array([1., 1.])}",0.16107201840005794,0.0020101070404052734,0.387216322170316,0.014022588729858398,0.6934116120507667,0.0,0.5642389753856683,0.0,0.12153817988627952,0.026796340942382812,0.10045591629802156,0.024720430374145508,0.3113774558028994,0.0028274059295654297,0.313536748785182,0.02485823631286621,0.3133946872687247,0.2380235195159912
normal,"{'mean': array([1., 1.])}",normal,"{'mean': array([ 2., -2.])}",0.18495407050740567,0.0,0.37604560866818965,0.033498287200927734,1.826485545131058,0.0,0.5983766414458576,0.0,0.0971356561922217,0.011258363723754883,0.10589044506838183,0.02770853042602539,2.2281887412428465,0.002009153366088867,2.351906121583999,0.0311582088470459,2.3614582127072063,0.2562286853790283
normal,"{'mean': array([1., 1.])}",normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",0.6047521736710706,0.0048830509185791016,1.093660083326767,0.03241372108459473,1.1961822674569382,0.0,0.8900019818401248,0.0,0.10794621685875247,0.016040325164794922,0.2049165859391502,0.023923873901367188,1.1029166982873286,0.005570173263549805,1.0722762962290788,0.026557445526123047,1.068809345116656,0.25020718574523926
normal,"{'mean': array([1., 1.])}",normal,"{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}",0.4674587705987637,0.00610041618347168,0.977166360410211,0.01636028289794922,1.1817658539665588,0.008033037185668945,0.8168542466939095,0.0038650035858154297,0.11004899689371395,0.021517276763916016,0.11929203634883445,0.019899368286132812,1.0846835019509147,0.0,1.0391055410371866,0.024028778076171875,1.0348699975654425,0.22636032104492188
normal,"{'mean': array([1., 1.])}",normal,"{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",0.17312582030645216,0.0,0.408185641081578,0.01687908172607422,1.1187065280638104,0.0,0.5969508297218058,0.0,0.11243973245134695,0.022947072982788086,0.13074503074926716,0.018352031707763672,0.9409742370177975,0.0,0.9001621131048392,0.026344776153564453,0.8960948462405878,0.2153940200805664
normal,"{'mean': array([1., 1.])}",swissroll,{},5.190605515410341,0.0,10.41362623763547,0.02963995933532715,3.367593586715875,0.0,2.6090249233115177,0.0,0.15481872237007252,0.015856027603149414,0.17456095305945193,0.014598846435546875,8.58256342092526,0.0,8.661395437816674,0.023820161819458008,8.663830472097823,0.1989908218383789
normal,"{'mean': array([ 2., -2.])}",banana,{'phase': 0.0},0.4374032882353942,0.0,0.7582225397118127,0.0269775390625,1.6365808040877001,0.0,0.8276654091267492,0.0,0.1154775844516435,0.026100873947143555,0.2342790560924682,0.026432275772094727,1.855541523738832,0.005131959915161133,1.9266818980119342,0.025023698806762695,1.9314611316076116,0.2168571949005127
normal,"{'mean': array([ 2., -2.])}",banana,{'phase': 0.2},0.47796610947920004,0.0,0.8054393445187367,0.03359866142272949,1.620678156151631,0.0,0.8016068532913281,0.0,0.1652094579690529,0.020888090133666992,0.3225320451591574,0.026467561721801758,1.825720749302872,0.0,1.8928371738625347,0.035324811935424805,1.8973651108195027,0.23833394050598145
normal,"{'mean': array([ 2., -2.])}",banana,{'phase': 1.0},0.5683905551791941,0.0,0.8051730520721875,0.045285701751708984,1.5754040157726843,0.0,0.9294813508091931,0.0036644935607910156,0.14544760978618398,0.030670881271362305,0.2579267624539676,0.013829469680786133,1.7537698273582136,0.006520271301269531,1.8033095349182966,0.017181396484375,1.8064201917472396,0.2276442050933838
normal,"{'mean': array([ 2., -2.])}",cylinder,{'angle': 0.0},0.3958041793933163,0.0,0.7322802731175605,0.03223729133605957,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.14969378305686437,0.01531219482421875,0.1853712704881311,0.016435861587524414,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([ 2., -2.])}",cylinder,{'angle': 0.2},0.38647912748287416,0.0,0.71777445457362,0.024658679962158203,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.12011730457792265,0.0161287784576416,0.1489030099748729,0.016292095184326172,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([ 2., -2.])}",cylinder,{'angle': 1.5707963267948966},0.36014373104246833,0.0,0.7623371290687451,0.021423816680908203,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.12186389576816499,0.014725208282470703,0.14615437708792334,0.01984548568725586,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([ 2., -2.])}",normal,"{'mean': array([0., 0.])}",0.1796834611679347,0.0015087127685546875,0.3574184475552081,0.028429746627807617,1.6209003860051678,0.003551006317138672,0.5932424647276092,0.0009169578552246094,0.10641594382844785,0.00803685188293457,0.1083890192664428,0.020471572875976562,1.7342798781354227,0.0037925243377685547,1.8360331266494518,0.026392221450805664,1.845316156140582,0.25135254859924316
