X_id,Y_id,metric,mean_rel_change,std_rel_change,snr_a,total_time,D_baseline,rel_changes
banana_276,normal_230,RISWIE-PCA,0.0923935502644238,0.0,,0.26912999153137207,1.0071495934110233,[0.09239355]
gaussian_mixture_152,swissroll_154,Standard Sliced Wasserstein,0.0004653780295047869,0.0,,3.533026695251465,3.2539680501616557,[0.00046538]
gaussian_mixture_152,swissroll_154,RISWIE-PCA,1.4024812787743212e-05,0.0,,0.2660527229309082,10.856001360432337,[1.40248128e-05]
torus_276,cylinder_156,Standard Sliced Wasserstein,0.7271570801280364,0.0,,3.638951063156128,0.04724176665067085,[0.72715708]
torus_276,cylinder_156,RISWIE-PCA,0.07097866692155377,0.0,,0.25989699363708496,0.19291960786885437,[0.07097867]
torus_171,banana_290,Standard Sliced Wasserstein,0.24615404035506763,0.0,,3.6849303245544434,0.10134053931188987,[0.24615404]
torus_171,banana_290,RISWIE-PCA,0.012108882678011447,0.0,,0.3136477470397949,0.46910923605420923,[0.01210888]
gaussian_mixture_75,banana_203,Standard Sliced Wasserstein,0.0005432834577356389,0.0,,3.825932502746582,2.870822367657645,[0.00054328]
gaussian_mixture_75,banana_203,RISWIE-PCA,1.3458891053925209e-05,0.0,,0.2659332752227783,9.586693673416645,[1.34588911e-05]
banana_110,gaussian_mixture_66,Standard Sliced Wasserstein,0.010127374755632646,0.0,,3.679703712463379,3.924120448306981,[0.01012737]
banana_110,gaussian_mixture_66,RISWIE-PCA,0.002843221819133406,0.0,,0.2830486297607422,13.647454631482718,[0.00284322]
torus_2,cylinder_233,Standard Sliced Wasserstein,0.34059778947422803,0.0,,3.843862295150757,0.07701874002948156,[0.34059779]
torus_2,cylinder_233,RISWIE-PCA,0.03517388512975741,0.0,,0.2625415325164795,0.2936177433179101,[0.03517389]
torus_56,torus_5,Standard Sliced Wasserstein,0.12011771851682154,0.0,,3.752997875213623,0.13402790384740523,[0.12011772]
torus_56,torus_5,RISWIE-PCA,0.01051402992935151,0.0,,0.25516366958618164,0.4862449649844187,[0.01051403]
swissroll_171,torus_145,Standard Sliced Wasserstein,0.18063392099434195,0.0,,3.640864372253418,0.1748976425910586,[0.18063392]
swissroll_171,torus_145,RISWIE-PCA,0.004679065833630752,0.0,,0.24944162368774414,0.6192303831483998,[0.00467907]
gaussian_mixture_188,swissroll_104,Standard Sliced Wasserstein,0.000191217108622595,0.0,,4.138752222061157,4.702030335232631,[0.00019122]
gaussian_mixture_188,swissroll_104,RISWIE-PCA,1.8087141191111044e-05,0.0,,0.2556343078613281,16.2479469105373,[1.80871412e-05]
swissroll_219,torus_82,Standard Sliced Wasserstein,0.2756620775806277,0.0,,3.830334186553955,0.11568782283104592,[0.27566208]
swissroll_219,torus_82,RISWIE-PCA,0.01050648901360514,0.0,,0.2595236301422119,0.39667617534872457,[0.01050649]
swissroll_252,gaussian_mixture_291,Standard Sliced Wasserstein,0.008628809461019522,0.0,,3.6582820415496826,5.2696477320831425,[0.00862881]
swissroll_252,gaussian_mixture_291,RISWIE-PCA,0.004376759355026645,0.0,,0.2678048610687256,18.197665641310135,[0.00437676]
cylinder_23,swissroll_226,Standard Sliced Wasserstein,1.155701233467185,0.0,,3.8613688945770264,0.02544688445329536,[1.15570123]
cylinder_23,swissroll_226,RISWIE-PCA,0.2564889057560186,0.0,,0.2837338447570801,0.1402964342045783,[0.25648891]
cylinder_53,gaussian_mixture_105,Standard Sliced Wasserstein,0.008195398372660435,0.0,,3.692575454711914,4.798723632414933,[0.0081954]
cylinder_53,gaussian_mixture_105,RISWIE-PCA,0.0009763561239295237,0.0,,0.2613205909729004,16.640650453240568,[0.00097636]
swissroll_80,normal_170,Standard Sliced Wasserstein,0.053644847763620516,0.0,,3.630038261413574,0.9093019791018091,[0.05364485]
swissroll_80,normal_170,RISWIE-PCA,0.09778339411467295,0.0,,0.25216245651245117,1.1545649092357608,[0.09778339]
cylinder_65,normal_53,Standard Sliced Wasserstein,0.07004863291727784,0.0,,3.7525343894958496,0.6428300602276659,[0.07004863]
cylinder_65,normal_53,RISWIE-PCA,0.07659982197271961,0.0,,0.2692983150482178,0.9198098461346094,[0.07659982]
torus_267,cylinder_184,Standard Sliced Wasserstein,0.14682866838971573,0.0,,3.564208984375,0.13204671235562615,[0.14682867]
torus_267,cylinder_184,RISWIE-PCA,0.01109296902254043,0.0,,0.26909542083740234,0.49500528243893255,[0.01109297]
gaussian_mixture_299,swissroll_65,Standard Sliced Wasserstein,0.0005586055185076559,0.0,,3.5330708026885986,3.425147719449727,[0.00055861]
gaussian_mixture_299,swissroll_65,RISWIE-PCA,0.00015647009394730872,0.0,,0.2716827392578125,11.653760354119196,[0.00015647]
torus_158,gaussian_mixture_46,Standard Sliced Wasserstein,0.010847355166193366,0.0,,3.9205124378204346,2.9140953661916575,[0.01084736]
torus_158,gaussian_mixture_46,RISWIE-PCA,0.0044829030616717995,0.0,,0.28323817253112793,9.677729817674294,[0.0044829]
gaussian_mixture_280,gaussian_mixture_129,Standard Sliced Wasserstein,0.0002600628692457589,0.0,,3.4266011714935303,2.1881845033140204,[0.00026006]
gaussian_mixture_280,gaussian_mixture_129,RISWIE-PCA,8.054285024565633e-05,0.0,,0.26514482498168945,12.447878049382753,[8.05428502e-05]
cylinder_147,torus_4,Standard Sliced Wasserstein,0.23145414460543054,0.0,,3.750241994857788,0.13955715214784145,[0.23145414]
cylinder_147,torus_4,RISWIE-PCA,0.0003226718216395871,0.0,,0.26441526412963867,0.5286287506506436,[0.00032267]
torus_34,banana_9,Standard Sliced Wasserstein,0.10389074537884427,0.0,,3.713989496231079,0.18266248612121802,[0.10389075]
torus_34,banana_9,RISWIE-PCA,0.00673773060876072,0.0,,0.2515997886657715,0.7249806062105542,[0.00673773]
gaussian_mixture_183,banana_69,Standard Sliced Wasserstein,0.00021663559268089098,0.0,,3.6170501708984375,4.971967923672856,[0.00021664]
gaussian_mixture_183,banana_69,RISWIE-PCA,3.771640264607376e-06,0.0,,0.30949974060058594,17.14378503079385,[3.77164026e-06]
gaussian_mixture_232,cylinder_124,Standard Sliced Wasserstein,0.0014143725221432907,0.0,,3.556062936782837,1.9323975168579157,[0.00141437]
gaussian_mixture_232,cylinder_124,RISWIE-PCA,0.0003209366966116056,0.0,,0.26201701164245605,5.647361772501696,[0.00032094]
torus_7,normal_252,Standard Sliced Wasserstein,0.057811286301645906,0.0,,4.000696420669556,0.5255405579609047,[0.05781129]
torus_7,normal_252,RISWIE-PCA,0.05674558535406442,0.0,,0.27765989303588867,1.061246981732644,[0.05674559]
swissroll_197,gaussian_mixture_289,Standard Sliced Wasserstein,0.009506498864551915,0.0,,3.6335253715515137,4.159062032686414,[0.0095065]
swissroll_197,gaussian_mixture_289,RISWIE-PCA,0.0009173993250730054,0.0,,0.2668023109436035,14.043061792267881,[0.0009174]
swissroll_224,banana_237,Standard Sliced Wasserstein,0.02769098091019163,0.0,,3.648000955581665,0.04160556204171031,[0.02769098]
swissroll_224,banana_237,RISWIE-PCA,0.06284336787508056,0.0,,0.25728893280029297,0.2638024870927115,[0.06284337]
torus_216,normal_3,Standard Sliced Wasserstein,0.03874888457565929,0.0,,3.888016700744629,0.8389634356493332,[0.03874888]
torus_216,normal_3,RISWIE-PCA,0.06453892819446583,0.0,,0.27718234062194824,1.0849727896047159,[0.06453893]
swissroll_137,torus_118,Standard Sliced Wasserstein,0.292137836569371,0.0,,3.561124324798584,0.1062117605829819,[0.29213784]
swissroll_137,torus_118,RISWIE-PCA,0.006256712835820115,0.0,,0.2647371292114258,0.36250784251437534,[0.00625671]
banana_195,torus_202,Standard Sliced Wasserstein,0.24043779711152288,0.0,,3.960914373397827,0.1688725858829436,[0.2404378]
banana_195,torus_202,RISWIE-PCA,0.027198689989709098,0.0,,0.2683279514312744,0.6935030394660112,[0.02719869]
torus_228,gaussian_mixture_196,Standard Sliced Wasserstein,0.007315418136033969,0.0,,3.7978293895721436,3.679986935764996,[0.00731542]
torus_228,gaussian_mixture_196,RISWIE-PCA,0.0023257526086437274,0.0,,0.2572183609008789,12.54738699098853,[0.00232575]
cylinder_148,normal_106,Standard Sliced Wasserstein,0.049877940138388206,0.0,,3.7789089679718018,0.9039832436020808,[0.04987794]
cylinder_148,normal_106,RISWIE-PCA,0.06308834117280308,0.0,,0.2562844753265381,1.1091986660230633,[0.06308834]
normal_180,torus_176,Standard Sliced Wasserstein,0.014964611281175181,0.0,,3.755059242248535,0.49371466441917017,[0.01496461]
normal_180,torus_176,RISWIE-PCA,0.0028831851734248794,0.0,,0.26322269439697266,1.0600164178319367,[0.00288319]
normal_160,gaussian_mixture_122,Standard Sliced Wasserstein,0.0015360718895517872,0.0,,3.7099955081939697,3.104660526709713,[0.00153607]
normal_160,gaussian_mixture_122,RISWIE-PCA,0.00013981116678956254,0.0,,0.25468873977661133,12.961716819765147,[0.00013981]
torus_76,gaussian_mixture_197,Standard Sliced Wasserstein,0.004594310856136296,0.0,,3.6424150466918945,4.927613836052479,[0.00459431]
torus_76,gaussian_mixture_197,RISWIE-PCA,0.002048575297877751,0.0,,0.2564821243286133,17.282567718509455,[0.00204858]
normal_138,gaussian_mixture_123,Standard Sliced Wasserstein,0.0016912592721152254,0.0,,3.4920992851257324,3.9314854082273736,[0.00169126]
normal_138,gaussian_mixture_123,RISWIE-PCA,0.00027862053174286164,0.0,,0.26399731636047363,15.057539962006958,[0.00027862]
cylinder_59,torus_70,Standard Sliced Wasserstein,0.13966909174087824,0.0,,3.9091570377349854,0.1827098178314422,[0.13966909]
cylinder_59,torus_70,RISWIE-PCA,0.0011872021592553282,0.0,,0.30870771408081055,0.6681625569365681,[0.0011872]
swissroll_214,swissroll_200,Standard Sliced Wasserstein,12.68518054600214,0.0,,3.609847068786621,0.0040707670998380956,[12.68518055]
swissroll_214,swissroll_200,RISWIE-PCA,4.147523792625015,0.0,,0.2582113742828369,0.02261819872961133,[4.14752379]
banana_164,cylinder_79,Standard Sliced Wasserstein,0.7823279976737705,0.0,,3.804610013961792,0.03125216951351592,[0.782328]
banana_164,cylinder_79,RISWIE-PCA,0.02439967986714575,0.0,,0.2701728343963623,0.2400080728735189,[0.02439968]
torus_15,swissroll_209,Standard Sliced Wasserstein,0.13796011078777692,0.0,,3.85654616355896,0.14942253299615027,[0.13796011]
torus_15,swissroll_209,RISWIE-PCA,0.024115366737011455,0.0,,0.24730491638183594,0.5201233215832268,[0.02411537]
